202
85 60 76 
68 12 33 
76 34 22 
87 74 57 
81 93 12 
21 85 31 
34 19 22 
85 76 22 
60 34 76 
34 83 19 
3 91 42 
5 68 33 
87 7 74 
50 38 65 
22 19 79 
19 83 79 
103 92 26 
27 84 95 
103 100 66 
102 53 62 
74 7 96 
94 87 57 
0 1 86 
86 7 6 
57 74 31 
85 57 31 
79 94 57 
22 79 57 
85 22 57 
60 85 21 
100 60 66 
31 74 96 
1 7 86 
21 31 96 
21 96 73 
60 21 66 
21 73 66 
0 86 18 
96 7 1 
73 96 1 
103 43 58 
86 8 18 
73 1 0 
66 73 0 
7 87 6 
92 84 32 
24 2 38 
67 27 95 
8 11 97 
18 8 97 
86 6 8 
6 11 8 
103 66 18 
66 0 18 
11 6 45 
77 47 52 
103 18 43 
18 97 43 
99 16 52 
97 11 99 
44 14 29 
58 43 47 
58 47 92 
45 87 49 
43 97 99 
47 43 99 
6 87 45 
103 58 92 
28 84 16 
47 99 52 
99 11 16 
11 28 16 
47 77 92 
16 84 52 
77 52 92 
52 84 92 
90 70 72 
72 88 26 
15 39 30 
84 45 95 
32 84 27 
67 32 27 
84 28 45 
28 11 45 
62 20 37 
94 2 24 
87 94 24 
49 87 24 
38 50 13 
49 24 38 
9 14 61 
46 56 25 
13 44 95 
49 38 13 
32 67 90 
67 70 90 
50 14 13 
14 44 13 
45 49 95 
49 13 95 
95 29 40 
95 44 29 
40 29 51 
69 40 41 
67 95 70 
95 40 70 
32 90 72 
88 69 41 
26 88 39 
88 72 69 
32 72 26 
26 39 15 
70 40 69 
72 70 69 
78 9 61 
92 32 26 
88 41 39 
55 20 30 
10 55 30 
59 51 54 
102 103 15 
103 26 15 
39 41 71 
41 40 71 
10 39 71 
59 10 71 
59 71 51 
71 40 51 
29 14 51 
101 102 62 
54 35 20 
20 35 37 
101 62 5 
54 51 35 
59 54 55 
54 20 55 
10 59 55 
39 10 30 
53 20 62 
102 23 53 
102 15 23 
15 30 23 
30 20 53 
23 30 53 
14 50 61 
37 35 98 
98 14 9 
4 80 48 
51 14 98 
35 51 98 
38 2 65 
78 80 82 
37 98 9 
78 37 9 
78 61 80 
62 80 5 
48 61 63 
80 62 82 
62 37 82 
37 78 82 
2 64 65 
80 61 48 
34 60 42 
93 91 12 
5 80 4 
68 5 4 
61 50 63 
48 63 64 
94 79 56 
64 2 17 
83 34 42 
68 4 81 
63 50 65 
64 63 65 
4 48 17 
48 64 17 
2 94 56 
17 2 56 
4 17 81 
91 3 12 
81 17 46 
17 56 46 
25 83 75 
46 25 75 
79 83 25 
56 79 25 
75 83 89 
81 46 75 
68 81 12 
81 75 89 
93 81 91 
81 89 91 
60 100 42 
100 101 42 
89 83 42 
91 89 42 
101 33 36 
3 42 36 
101 5 33 
42 101 36 
12 3 36 
33 12 36 
